route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
91_1,FULLW,91_1_PM_4,,,,shape_2831
91_1,FULLW,91_1_PM_5,,,,shape_2832
91_1,FULLW,91_1_PM_6,,,,shape_2833
91_1,FULLW,91_1_PM_7,,,,shape_2834
91_1,FULLW,91_1_PM_8,,,,shape_2835
91_1,FULLW,91_1_PM_9,,,,shape_2836
91_1,FULLW,91_1_PM_10,,,,shape_2837
91_1,FULLW,91_1_PM_11,,,,shape_2838
91_2,FULLW,91_2_PM_1,,,,shape_2839
91_2,FULLW,91_2_PM_2,,,,shape_2840
91_2,FULLW,91_2_PM_3,,,,shape_2841
91_2,FULLW,91_2_PM_4,,,,shape_2842
91_2,FULLW,91_2_PM_5,,,,shape_2843
91_2,FULLW,91_2_PM_6,,,,shape_2844
91_2,FULLW,91_2_PM_7,,,,shape_2845
91_2,FULLW,91_2_PM_8,,,,shape_2846
91_2,FULLW,91_2_PM_9,,,,shape_2847
91_2,FULLW,91_2_PM_10,,,,shape_2848
91_2,FULLW,91_2_PM_11,,,,shape_2849
92_1,FULLW,92_1_PM_1,,,,shape_2850
92_1,FULLW,92_1_PM_2,,,,shape_2851
92_1,FULLW,92_1_PM_3,,,,shape_2852
92_1,FULLW,92_1_PM_4,,,,shape_2853
92_1,FULLW,92_1_PM_5,,,,shape_2854
92_1,FULLW,92_1_PM_6,,,,shape_2855
92_1,FULLW,92_1_PM_7,,,,shape_2856
92_1,FULLW,92_1_PM_8,,,,shape_2857
92_1,FULLW,92_1_PM_9,,,,shape_2858
92_1,FULLW,92_1_PM_10,,,,shape_2859
92_1,FULLW,92_1_PM_11,,,,shape_2860
92_2,FULLW,92_2_PM_1,,,,shape_2861
92_2,FULLW,92_2_PM_2,,,,shape_2862
92_2,FULLW,92_2_PM_3,,,,shape_2863
92_2,FULLW,92_2_PM_4,,,,shape_2864
92_2,FULLW,92_2_PM_5,,,,shape_2865
92_2,FULLW,92_2_PM_6,,,,shape_2866
92_2,FULLW,92_2_PM_7,,,,shape_2867
92_2,FULLW,92_2_PM_8,,,,shape_2868
92_2,FULLW,92_2_PM_9,,,,shape_2869
92_2,FULLW,92_2_PM_10,,,,shape_2870
92_2,FULLW,92_2_PM_11,,,,shape_2871
93_1,FULLW,93_1_PM_1,,,,shape_2872
93_1,FULLW,93_1_PM_2,,,,shape_2873
93_1,FULLW,93_1_PM_3,,,,shape_2874
93_1,FULLW,93_1_PM_4,,,,shape_2875
93_1,FULLW,93_1_PM_5,,,,shape_2876
93_1,FULLW,93_1_PM_6,,,,shape_2877
